Project, Loss, Chain, Vulnerability, date, transactions
Radiant Capital,                4500000.000000,                [42161],                Accounting Error,                1704221618000,                [{'txnHash': '0xc5c4bbddec70edb58efba60c1f27bce6515a45ffcab4236026a5eeb3e877fc6d', 'txnHashDate': 1704221629000, 'chainId': 42161}, {'txnHash': '0x2af556386c023f7ebe7c662fd5d1c6cc5ed7fba4723cbd75e00faaa98cd14243', 'txnHashDate': 1704221626000, 'chainId': 42161}, {'txnHash': '0x1ce7e9a9e3b6dd3293c9067221ac3260858ce119ecb7ca860eac28b2474c7c9b', 'txnHashDate': 1704221618000, 'chainId': 42161}]
Transit Finance,                110000.000000,                [56],                Untrusted Input,                1703037712000,                [{'txnHash': '0x93ae5f0a121d5e1aadae052c36bc5ecf2d406d35222f4c6a5d63fef1d6de1081', 'txnHashDate': 1703037712000, 'chainId': 56}]
Floor Protocol,                1600000.000000,                [1],                Business Logic Flaw,                1702773683000,                [{'txnHash': '0x4d8d7e6f2bdc49e724b8d2a0241cf31d0911a230fa17230c7f025cead1842e93', 'txnHashDate': 1702773683000, 'chainId': 1}]
NFT Trader,                3000000.000000,                [1],                Reentrancy,                1702740179000,                [{'txnHash': '0xec7523660f8b66d9e4a5931d97ad8b30acc679c973b20038ba4c15d4336b393d', 'txnHashDate': 1702740179000, 'chainId': 1}]
Hypr Network,                200000.000000,                [1],                Business Logic Flaw,                1702438235000,                [{'txnHash': '0x51ce3d9cfc85c1f6a532b908bb2debb16c7569eb8b76effe614016aac6635f65', 'txnHashDate': 1702438235000, 'chainId': 1}]
Elephant Money,                165000.000000,                [56],                Flawed Price Dependency,                1701858478000,                [{'txnHash': '0x7ccb189c78376bdc35294f1779e7156233bcbc65f8681b3d6a7f512c1c2d5218', 'txnHashDate': 1701859936000, 'chainId': 56}, {'txnHash': '0xd423ae0e95e9d6c8a89dcfed243573867e4aad29ee99a9055728cbbe0a523439', 'txnHashDate': 1701858478000, 'chainId': 56}]
BEARNDAO,                769000.000000,                [56],                Lack of Slippage Protection,                1701813183000,                [{'txnHash': '0x51913be3f31d5ddbfc77da789e5f9653ed6b219a52772309802226445a1edd5f', 'txnHashDate': 1701813183000, 'chainId': 56}]
Hope.money,                825000.000000,                [42161],                Precision Loss,                1701227109000,                [{'txnHash': '0x27f13eaa3d72dbd32bda5d758e0ecbd689f6d23f60ec7b0c27a4042a6c68fa20', 'txnHashDate': 1701227109000, 'chainId': 42161}]
KyberSwap,                46000000.000000,                [43114, 8453, 10, 42161, 137, 1],                Precision Loss,                1700693829000,                [{'txnHash': '0xef2c710b4dab33844b6affb1b05bdb943a1f89d4c22fdd6ddd5b07ea12d92360', 'txnHashDate': 1700695839000, 'chainId': 10}, {'txnHash': '0x8464ee4eab7e10c9c07aee4637644708cd0ce43a7265f481eac2dfb0dbab942c', 'txnHashDate': 1700694769000, 'chainId': 42161}, {'txnHash': '0x34e5c79d5c11426286313db5069b8ecd07f5e32ac5afa4b08cbe181d33627ad7', 'txnHashDate': 1700694752000, 'chainId': 137}, {'txnHash': '0xb58c81460ef0167f492fb4900e9da60cc6fa1117bd5b67b2100bb5b5e5df8b0c', 'txnHashDate': 1700694142000, 'chainId': 137}, {'txnHash': '0x396a83df7361519416a6dc960d394e689dd0f158095cbc6a6c387640716f5475', 'txnHashDate': 1700693915000, 'chainId': 1}, {'txnHash': '0x09a3a12d58b0bb80e33e3fb8e282728551dc430c65d1e520fe0009ec519d75e8', 'txnHashDate': 1700693903000, 'chainId': 1}, {'txnHash': '0x0106c7549ac4e0de16aefce2b8fe339127ee8003b236f623d05edc41429de779', 'txnHashDate': 1700693831000, 'chainId': 42161}, {'txnHash': '0x96d90b23678b34e9ff324bdef7a18bf190289afff848a26882a1fe3110bf9714', 'txnHashDate': 1700693829000, 'chainId': 43114}, {'txnHash': '0x547aea57ae199779afe1f04473cd9a33aba6330df2c80e4d9d033ad3fb4f6e8d', 'txnHashDate': 1700693822000, 'chainId': 43114}, {'txnHash': '0x567f0ba7741d097b6b1aaba68e8b75b9930f3cf946681cf9ad068aa34eb11c5b', 'txnHashDate': 1700693821000, 'chainId': 42161}, {'txnHash': '0x94d9d5e0e57d2c0df400a8e3ad417678ef69f0272a5fcfe0d9ce788063c992bd', 'txnHashDate': 1700693814000, 'chainId': 137}, {'txnHash': '0x339a65bb935f69e584ea979aa39282414371767576d4f1186a047768ef0a57c5', 'txnHashDate': 1700693812000, 'chainId': 42161}, {'txnHash': '0x7f325cf1201422cf7ab6dd06d66136c55b399144f21b70f09a0c799782c5c874', 'txnHashDate': 1700693797000, 'chainId': 10}, {'txnHash': '0xdaa80d75d872bf2513c09c76d81db54d9ddcfd06d4230e65e3bf8d87d2758db2', 'txnHashDate': 1700693795000, 'chainId': 10}, {'txnHash': '0xcea8599b8b82d5c17739fda9fe69a3e19a1613405929b3e191118681b702fc6a', 'txnHashDate': 1700693794000, 'chainId': 42161}, {'txnHash': '0x485e08dc2b6a4b3aeadcb89c3d18a37666dc7d9424961a2091d6b3696792f0f3', 'txnHashDate': 1700693711000, 'chainId': 1}, {'txnHash': '0x0a2957e7a2b45db525143d419137de854a741e7d2f61468b1dc3f83c9c27f9f7', 'txnHashDate': 1700693649000, 'chainId': 8453}]
MEV Bot 0x8c2d4e,                365000.000000,                [56],                Access Control Issue,                1699815052000,                [{'txnHash': '0x3dcb26a1f49eb4d02ca29960b4833bfb2e83d7b5d9591aed1204168944c8c9b3', 'txnHashDate': 1699815052000, 'chainId': 56}]
