Project, Loss, Vulnerability, Transactions, Date, Time, Chain
 , ,,0x0106c7549ac4e0de16aefce2b8fe339127ee8003b236f623d05edc41429de779,0.947719907, 22:57,42161
 , ,,0x96d90b23678b34e9ff324bdef7a18bf190289afff848a26882a1fe3110bf9714,0.947719907, 22:57,43114
 , ,,0x547aea57ae199779afe1f04473cd9a33aba6330df2c80e4d9d033ad3fb4f6e8d,0.947719907, 22:57,43114
 , ,,0x567f0ba7741d097b6b1aaba68e8b75b9930f3cf946681cf9ad068aa34eb11c5b,0.947719907, 22:57,42161
 , ,,0x94d9d5e0e57d2c0df400a8e3ad417678ef69f0272a5fcfe0d9ce788063c992bd,0.947719907, 22:56,137
 , ,,0x339a65bb935f69e584ea979aa39282414371767576d4f1186a047768ef0a57c5,0.947719907, 22:56,42161
 , ,,0x7f325cf1201422cf7ab6dd06d66136c55b399144f21b70f09a0c799782c5c874,0.947719907, 22:56,10
 , ,,0xdaa80d75d872bf2513c09c76d81db54d9ddcfd06d4230e65e3bf8d87d2758db2,0.947719907, 22:56,10
 , ,,0xcea8599b8b82d5c17739fda9fe69a3e19a1613405929b3e191118681b702fc6a,0.947719907, 22:56,42161
 , ,,0x485e08dc2b6a4b3aeadcb89c3d18a37666dc7d9424961a2091d6b3696792f0f3,0.947719907, 22:55,1
 , ,,0x0a2957e7a2b45db525143d419137de854a741e7d2f61468b1dc3f83c9c27f9f7,0.947719907, 22:54,8453
MEV Bot 0x8c2d4e,365000,                Access Control Issue,0x3dcb26a1f49eb4d02ca29960b4833bfb2e83d7b5d9591aed1204168944c8c9b3,0.531053241, 18:50,56
MEV Bot 0xa24734,150000,                Access Control Issue,0xdfbfb0387129541c65934e71deee404ea70de6629258ae49d9f24bcf6e866ea6,0.531053241, 03:16,1
 , ,,0xb56e984a866afed36ccf28c2a659845f5529d7de3f609d67c16c20e337c106fc,0.531053241, 03:13,1
 , ,,0x573199feba92ab6577847f2baa634ec84845d96474af31ca81a6b82ab3a4178f,0.531053241, 02:31,1
 , ,,0x53eeab4447db331dbb47f93fd58a95d6faa230d559acde0687f8b5f5829e7a45,0.531053241, 02:30,1
Raft,3200000,                Precision Loss,0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7,0.447719907, 18:59,1
MEV Bot 0x05f016,2000000,                Access Control Issue,0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38,0.322719907, 23:24,1
TheStandard.io,290000,                Lack of Slippage Protection,0x51293c1155a1d33d8fc9389721362044c3a67e0ac732b3a6ec7661d47b03df9f,0.281053241, 21:31,42161
OnyxProtocol,2000000,                Precision Loss,0xf7c21600452939a81b599017ee24ee0dfd92aaaccd0a55d02819a7658a6ef635,0.072719907, 09:58,1
Astrid Finance,300000,                Business Logic Flaw,0x8af9b5fb3e2e3df8659ffb2e0f0c1f4c90d5a80f4f6fccef143b823ce673fb60,28:10:2023 , 10:41,1
Maestro,668000,                Arbitrary Calls,0xc087fbd68b9349b71838982e789e204454bfd00eebf9c8e101574376eb990d92,24:10:2023 , 22:53,1
WiseLending.com,260000,                Precision Loss,0x7ac4a98599596adbf12fffa2bd23e2a2d2ac7e8989b6ea043fcc412a29126555,0.572025463, 14:39,1
Platypus,2000000,                Business Logic Flaw,0xab5f6242fb073af1bb3cd6e891bc93d247e748a69e599a3744ff070447acb20f,0.530358796, 03:29,43114
BH Token,1270000,                Business Logic Flaw,0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662,0.48869213, 14:14,56
Stars Arena,3000000,                Reentrancy,0x49c5b3b414bf874689de9a5b98c55445659c2fd2ad6f8a3cdd4e0203937c395e,0.987997685, 15:11,43114
Balancer,2000000,                Precision Loss,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,27:08:2023 , 07:55,1
SVT,400000,                Flawed Price Calculation,0xf2a0c957fef493af44f55b201fbc6d82db2e4a045c5c856bfe3d8cb80fa30c12,26:08:2023 , 02:40,56
Exactly Protocol,7000000,                Untrusted Input,0xe8999fb57684856d637504f1f0082b69a3f7b34dd4e7597bea376c9466813585,0.778969907, 09:11,10
 , ,,0x1526acfb7062090bd5fed1b3821d1691c87f6c4fb294f56b5b921f0edf0cfad6,0.778969907, 09:11,10
 , ,,0x3d6367de5c191204b44b8a5cf975f257472087a9aadc59b5d744ffdef33a520e,0.778969907, 09:11,10
Zunami Protocol,2000000,                Flawed Price Dependency,0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb,0.570636574, 22:34,1
Earning.Farm,286000,                Reentrancy,0x6e6e556a5685980317cb2afdb628ed4a845b3cbd1c98bdaffd0561cb2c4790fa,0.403969907, 07:34,1
LeetSwap,630000,                Access Control Issue,0xf0c2ed12a446713d6e38e7a4f0e05d45360ee9305b7d6e0b796fc44f848f6052,0.070636574, 01:32,8453
